"geoid","calls"
"17031080300",1
"17031080400",0
"17031081000",0
"17031081100",0
"17031081201",0
"17031081202",0
"17031081300",0
"17031081401",0
"17031081402",0
"17031081403",0
"17031081500",0
"17031081600",0
"17031081700",0
"17031081800",0
"17031081900",0
"17031090100",16
"17031090200",66
"17031090300",13
"17031100100",29
"17031100200",85
"17031100300",85
"17031100400",50
"17031100500",63
"17031100600",48
"17031100700",54
"17031110100",13
"17031110200",2
"17031110300",24
"17031110400",21
"17031110501",26
"17031110502",9
"17031120100",33
"17031120200",7
"17031120300",27
"17031120400",11
"17031130100",12
"17031130200",2
"17031130300",7
"17031140100",0
"17031140200",7
"17031140301",2
"17031140302",5
"17031140400",16
"17031140500",9
"17031140601",8
"17031140602",1
"17031140701",0
"17031140702",5
"17031140800",11
"17031150200",18
"17031150300",44
"17031150401",21
"17031150402",13
"17031150501",39
"17031150502",33
"17031150600",15
"17031150700",45
"17031150800",10
"17031151001",21
"17031151002",46
"17031151100",26
"17031151200",41
"17031160100",5
"17031160200",22
"17031160300",16
"17031160400",9
"17031160501",2
"17031160502",13
"17031160601",2
"17031160602",4
"17031160700",16
"17031160800",19
"17031160900",9
"17031161000",8
"17031161100",10
"17031161200",6
"17031161300",7
"17031170100",2
"17031170200",78
"17031170300",25
"17031170400",17
"17031170500",12
"17031170600",8
"17031170700",3
"17031170800",7
"17031170900",3
"17031171000",26
"17031171100",14
"17031180100",18
"17031190100",8
"17031190200",29
"17031190300",18
"17031190401",9
"17031190402",23
"17031190601",7
"17031190602",27
"17031190701",6
"17031190702",10
"17031190800",22
"17031190900",6
"17031191000",6
"17031191100",4
"17031191200",3
"17031191301",8
"17031191302",10
"17031200100",8
"17031200200",20
"17031200300",1
"17031200401",9
"17031200402",4
"17031210100",4
"17031210400",3
"17031210501",2
"17031210502",9
"17031210601",2
"17031210602",3
"17031210700",12
"17031210800",2
"17031210900",1
"17031220300",1
"17031220400",4
"17031220500",5
"17031220601",1
"17031220602",4
"17031220701",6
"17031220702",8
"17031220901",0
"17031220902",2
"17031221000",1
"17031221100",4
"17031221200",3
"17031221300",1
"17031221400",1
"17031221500",6
"17031221600",6
"17031222200",2
"17031222500",3
"17031222600",5
"17031222700",2
"17031222800",1
"17031222900",0
"17031230100",3
"17031230200",4
"17031230300",0
"17031230400",3
"17031230500",11
"17031230600",6
"17031230700",7
"17031230800",0
"17031230900",1
"17031231100",4
"17031231200",13
"17031231500",13
"17031240200",0
"17031240300",5
"17031240500",2
"17031240600",1
"17031240700",1
"17031240800",4
"17031240900",0
"17031241000",0
"17031241100",7
"17031241200",1
"17031241300",6
"17031241400",6
"17031241500",1
"17031241600",0
"17031242000",0
"17031242100",2
"17031242200",1
"17031242300",3
"17031242400",3
"17031242500",0
"17031242600",5
"17031242700",3
"17031242800",1
"17031242900",2
"17031243000",3
"17031243100",1
"17031243200",1
"17031243300",2
"17031243400",6
"17031243500",0
"17031250200",5
"17031250300",10
"17031250400",64
"17031250500",88
"17031250600",27
"17031250700",33
"17031250800",8
"17031251000",3
"17031251100",13
"17031251200",34
"17031251300",25
"17031251400",19
"17031251500",19
"17031251600",9
"17031251700",13
"17031251800",13
"17031251900",4
"17031252000",9
"17031252101",2
"17031252102",13
"17031252201",7
"17031252202",5
"17031260100",0
"17031260200",4
"17031260300",3
"17031260400",0
"17031260500",1
"17031260600",3
"17031260700",4
"17031260800",1
"17031260900",1
"17031261000",8
"17031270500",1
"17031271200",0
"17031271300",0
"17031271400",5
"17031271500",1
"17031271800",3
"17031280100",0
"17031280400",0
"17031280800",0
"17031280900",0
"17031281900",0
"17031282700",1
"17031282800",1
"17031283100",0
"17031283200",0
"17031283800",0
"17031290900",7
"17031291200",0
"17031291600",2
"17031292200",1
"17031292400",1
"17031292500",3
"17031300500",4
"17031300600",2
"17031300700",11
"17031300800",4
"17031300900",3
"17031301100",1
"17031301200",0
"17031301600",7
"17031301701",6
"17031301702",8
"17031301801",13
"17031301802",4
"17031301803",9
"17031310200",2
"17031310300",0
"17031310400",0
"17031310500",0
"17031310600",1
"17031310700",1
"17031310800",0
"17031310900",4
"17031320100",0
"17031320400",0
"17031320600",0
"17031330100",1
"17031330200",0
"17031340300",1
"17031340400",3
"17031340500",1
"17031340600",0
"17031350100",0
"17031350400",0
"17031351000",1
"17031351100",0
"17031351400",1
"17031351500",0
"17031360200",0
"17031380100",1
"17031380200",0
"17031380500",0
"17031380700",1
"17031381200",0
"17031381400",0
"17031381500",0
"17031381800",0
"17031381900",0
"17031390100",0
"17031390200",1
"17031390300",0
"17031390400",0
"17031390500",1
"17031390600",0
"17031390700",0
"17031400300",0
"17031400400",0
"17031400500",0
"17031400800",4
"17031410100",0
"17031410200",0
"17031410500",1
"17031410600",4
"17031410700",3
"17031410800",0
"17031410900",3
"17031411000",3
"17031411100",2
"17031411200",2
"17031420100",0
"17031420200",1
"17031420300",0
"17031420400",1
"17031420500",0
"17031420600",4
"17031420700",12
"17031420800",1
"17031421200",2
"17031430101",5
"17031430102",0
"17031430200",10
"17031430300",0
"17031430400",4
"17031430500",1
"17031430600",4
"17031430700",0
"17031430800",5
"17031430900",3
"17031431200",11
"17031431301",0
"17031431302",3
"17031431400",3
"17031440101",21
"17031440102",6
"17031440201",5
"17031440202",14
"17031440300",21
"17031440600",16
"17031440700",7
"17031440800",1
"17031440900",4
"17031450300",11
"17031460100",5
"17031460200",6
"17031460301",3
"17031460302",1
"17031460400",7
"17031460500",43
"17031460600",1
"17031460700",2
"17031461000",0
"17031470100",9
"17031480100",11
"17031480200",6
"17031480300",3
"17031480400",34
"17031480500",14
"17031490300",26
"17031490400",6
"17031490500",15
"17031490600",6
"17031490700",26
"17031490800",19
"17031490901",14
"17031490902",28
"17031491000",25
"17031491100",14
"17031491200",14
"17031491300",17
"17031491400",7
"17031500100",25
"17031500200",13
"17031500300",5
"17031510100",8
"17031510200",31
"17031510300",60
"17031520100",21
"17031520200",13
"17031520300",6
"17031520400",12
"17031520500",13
"17031520600",5
"17031530100",2
"17031530200",22
"17031530300",11
"17031530400",7
"17031530501",16
"17031530502",14
"17031530503",43
"17031530600",14
"17031540101",5
"17031540102",17
"17031550100",29
"17031550200",13
"17031560100",4
"17031560200",11
"17031560300",20
"17031560400",3
"17031560700",5
"17031560800",18
"17031560900",17
"17031561000",15
"17031561100",32
"17031570100",1
"17031570200",4
"17031570300",3
"17031570400",3
"17031570500",2
"17031580100",1
"17031580200",5
"17031580300",0
"17031580400",3
"17031580501",0
"17031580502",0
"17031580600",1
"17031580700",5
"17031580800",0
"17031590500",6
"17031590600",3
"17031590700",2
"17031600400",6
"17031600600",2
"17031600700",2
"17031600900",5
"17031610300",3
"17031610400",0
"17031610800",6
"17031611000",2
"17031611100",1
"17031611200",1
"17031611300",0
"17031611400",0
"17031611500",5
"17031611600",2
"17031611700",1
"17031611800",0
"17031611900",1
"17031612000",1
"17031612100",0
"17031620100",2
"17031620200",6
"17031620300",21
"17031620400",7
"17031630100",2
"17031630200",1
"17031630300",6
"17031630400",0
"17031630500",8
"17031630800",6
"17031630900",7
"17031640100",0
"17031640300",40
"17031640400",18
"17031640500",7
"17031640600",5
"17031640700",5
"17031640800",2
"17031650100",6
"17031650200",8
"17031650301",11
"17031650302",4
"17031650400",23
"17031650500",4
"17031660301",2
"17031660302",0
"17031660400",3
"17031660500",12
"17031660600",17
"17031660700",3
"17031660800",13
"17031660900",7
"17031661000",23
"17031661100",14
"17031670100",5
"17031670200",3
"17031670300",5
"17031670400",7
"17031670500",14
"17031670600",6
"17031670700",11
"17031670800",3
"17031670900",7
"17031671100",2
"17031671200",1
"17031671300",21
"17031671400",11
"17031671500",8
"17031671600",8
"17031671800",7
"17031671900",7
"17031672000",16
"17031680500",3
"17031680600",0
"17031680900",6
"17031681000",5
"17031681100",4
"17031681200",9
"17031681300",3
"17031681400",4
"17031690300",5
"17031690400",10
"17031690500",4
"17031690900",8
"17031691000",9
"17031691100",7
"17031691200",4
"17031691300",15
"17031691400",15
"17031691500",9
"17031700100",2
"17031700200",7
"17031700301",11
"17031700302",15
"17031700401",26
"17031700402",22
"17031700501",37
"17031700502",28
"17031710100",3
"17031710200",18
"17031710300",14
"17031710400",45
"17031710500",5
"17031710600",4
"17031710700",4
"17031710800",8
"17031710900",6
"17031711000",7
"17031711100",12
"17031711200",17
"17031711300",4
"17031711400",7
"17031711500",15
"17031720100",90
"17031720200",94
"17031720300",65
"17031720400",22
"17031720500",24
"17031720600",39
"17031720700",36
"17031730100",11
"17031730201",18
"17031730202",7
"17031730300",2
"17031730400",16
"17031730500",29
"17031730600",9
"17031730700",16
"17031740100",30
"17031740200",31
"17031740300",24
"17031740400",14
"17031750100",27
"17031750200",48
"17031750300",40
"17031750400",43
"17031750500",111
"17031750600",14
"17031760801",0
"17031760802",1
"17031760803",0
"17031770902",0
"17031810400",0
"17031821402",0
"17031823304",0
"17031830500",21
"17031830600",4
"17031830700",0
"17031830800",0
"17031830900",0
"17031831000",3
"17031831100",17
"17031831200",3
"17031831300",3
"17031831400",1
"17031831500",8
"17031831600",19
"17031831700",8
"17031831800",16
"17031831900",6
"17031832000",0
"17031832100",2
"17031832200",8
"17031832300",4
"17031832400",3
"17031832500",0
"17031832600",6
"17031832900",0
"17031833000",0
"17031833100",1
"17031833300",2
"17031833900",3
"17031834000",7
"17031834200",36
"17031834300",34
"17031834400",4
"17031834500",0
"17031834600",3
"17031834700",1
"17031834800",1
"17031834900",7
"17031835000",7
"17031835100",3
"17031835200",1
"17031835500",2
"17031835600",0
"17031835800",0
"17031835900",2
"17031836000",1
"17031836100",1
"17031836200",0
"17031836300",1
"17031836400",0
"17031836500",0
"17031836600",3
"17031836700",7
"17031836800",0
"17031836900",1
"17031837000",1
"17031837100",4
"17031837300",0
"17031837400",4
"17031837800",2
"17031838000",1
"17031838100",0
"17031838200",0
"17031838300",0
"17031838600",0
"17031838700",0
"17031838800",10
"17031839000",0
"17031839100",0
"17031839200",1
"17031839500",1
"17031839600",2
"17031839700",14
"17031839800",7
"17031839900",13
"17031840000",9
"17031840100",5
"17031840200",5
"17031840300",5
"17031840400",7
"17031840700",1
"17031840800",0
"17031841000",0
"17031841100",3
"17031841200",1
"17031841300",2
"17031841400",1
"17031841500",1
"17031841600",0
"17031841700",4
"17031841800",9
"17031841900",0
"17031842000",1
"17031842100",10
"17031842200",0
"17031842300",0
"17031842400",7
"17031842500",1
"17031842600",3
"17031842800",4
"17031842900",0
"17031843000",4
"17031843100",2
"17031843200",3
"17031843300",1
"17031843400",6
"17031843500",1
"17031843600",1
"17031843700",1
"17031843800",2
"17031843900",2
